city_name,dep_count  
Adana,30
Adıyaman,11
Afyon,0
Ağrı,4
Aksaray,8
Amasya,3
Ankara,72
Antalya,43
Ardahan,2
Artvin,6
Aydın,14
Balıkesir,25
Bartın,0
Batman,0
Bayburt,2
Bilecik,12
Bingöl,12
Bitlis,3
Bolu,22
Burdur,0
Bursa,42
Çanakkale,32
Çankırı,0
Çorum,11
Denizli,37
Diyarbakır,0
Düzce,6
Edirne,6
Elazığ,18
Erzincan,25
Erzurum,28
Eskişehir,13
Gaziantep,17
Giresun,2
Gümüşhane,0
Hakkari,3
Hatay,7
Iğdır,0
Isparta,11
Mersin,66
İstanbul,21
İzmir,36
KahramanMaraş,17
Karabük,0
Karaman,5
Kars,7
Kastamonu,1
Kayseri,10
Kırıkkale,5
Kırklareli,0
Kırşehir,0
Kilis,0
Kocaeli,3
Konya,46
Kütahya,78
Malatya,16
Manisa,54
Mardin,0
Muğla,286
Muş,14
Nevşehir,0
Niğde,9
Ordu,0
Osmaniye,18
Rize,0
Sakarya,7
Samsun,1
Siirt,0
Sinop,0
Sivas,0
Şanlıurfa,0
Şırnak,0
Tekirdağ,6
Tokat,12
Trabzon,0
Tunceli,9
Uşak,0
Van,77
Yalova,11
Yozgat,8
Zonguldak,0
